pinyin	phoneme	syll	syll_n	letter_n	sound_n	
chong2bai4	$oŋ2b#4	['chong', 'bai']	2	8	5	
biao3	bi#3	['biao']	1	4	3	
ke4zhi4	ke4$i4	['ke', 'zhi']	2	5	4	
fen1nu2	fen1nu2	['fen', 'nu']	2	5	5	
bao1kuo4	b#1kuo4	['bao', 'kuo']	2	6	5	
xian2xi4	xian2xi4	['xian', 'xi']	2	6	6	
ga3nen1	ga3nen1	['ga', 'nen']	2	5	5	
he2qi4	he2qi4	['he', 'qi']	2	4	4	
a1	a1	['a']	1	1	1	
ta1ye1	ta1ye1	['ta', 'ye']	2	4	4	
luo2ni2	luo2ni2	['luo', 'ni']	2	5	5	
cuo4wu4	cuo4wu4	['cuo', 'wu']	2	5	5	
chan3mei4	$an3m#4	['chan', 'mei']	2	7	5	
xin1ku3	xin1ku3	['xin', 'ku']	2	5	5	
mian4mu4	mian4mu4	['mian', 'mu']	2	6	6	
xiao1xi	xi#1xi	['xiao', 'xi']	2	6	5	
yin3ling3	yin3ljəŋ3	['yin', 'ling']	2	7	7	
zhan1ran3	$an1ran3	['zhan', 'ran']	2	7	6	
wen3tuo3	wen3tuo3	['wen', 'tuo']	2	6	6	
zai1huo4	z#1huo4	['zai', 'huo']	2	6	5	
de2rong2yao4	de2roŋ2y#4	['de', 'rong', 'yao']	3	9	7	
dong4xin1	doŋ4xin1	['dong', 'xin']	2	7	6	
yun4dong4	yun4doŋ4	['yun', 'dong']	2	7	6	
shang0di4xiong1	$aŋ0di4xioŋ1	['shang', 'di', 'xiong']	3	12	9	
xian2shi4	xian2$i4	['xian', 'shi']	2	7	6	
chou2ren2	$#2ren2	['chou', 'ren']	2	7	5	
miao3	mi#3	['miao']	1	4	3	
ren2kou3	ren2k#3	['ren', 'kou']	2	6	5	
kui	kui	['kui']	1	3	3	
kui0shen1shang	kui0$en1$aŋ	['kui', 'shen', 'shang']	3	12	9	
ne4	ne4	['ne']	1	2	2	
ta1xia2	ta1xia2	['ta', 'xia']	2	5	5	
wen1he2	wen1he2	['wen', 'he']	2	5	5	
duan1	duan1	['duan']	1	4	4	
jia3mao4	jia3m#4	['jia', 'mao']	2	6	5	
lao4	l#4	['lao']	1	3	2	
xiao3kan4	xi#3kan4	['xiao', 'kan']	2	7	6	
nian2qing1	nian2qjəŋ1	['nian', 'qing']	2	8	8	
sun1zi	swən1zi	['sun', 'zi']	2	5	6	
sun1nv3	swən1nv3	['sun', 'nv']	2	5	6	
xi2guan4	xi2guan4	['xi', 'guan']	2	6	6	
duan3	duan3	['duan']	1	4	4	
men2lu	men2lu	['men', 'lu']	2	5	5	
chou2ku3	$#2ku3	['chou', 'ku']	2	6	4	
jie1xu4	jie1xu4	['jie', 'xu']	2	5	5	
tiao3	ti#3	['tiao']	1	4	3	
nong2fu1	noŋ2fu1	['nong', 'fu']	2	6	5	
jin1qi4	jin1qi4	['jin', 'qi']	2	5	5	
yin2qi4	yin2qi4	['yin', 'qi']	2	5	5	
wen1	wen1	['wen']	1	3	3	
pin3	pin3	['pin']	1	3	3	
ta4	ta4	['ta']	1	2	2	
shi1zi	$i1zi	['shi', 'zi']	2	5	4	
ren4xing4	ren4xjəŋ4	['ren', 'xing']	2	7	7	
xing2dong4	xjəŋ2doŋ4	['xing', 'dong']	2	8	7	
ding3zhuang4	djəŋ3$uaŋ4	['ding', 'zhuang']	2	10	8	
zun1rong2	zwən1roŋ2	['zun', 'rong']	2	7	7	
xiao3yu4	xi#3yu4	['xiao', 'yu']	2	6	5	
hui1	hui1	['hui']	1	3	3	
yi4sheng1	yi4$eŋ1	['yi', 'sheng']	2	7	5	
jian1chi2	jian1$i2	['jian', 'chi']	2	7	6	
wei4ju4	w#4ju4	['wei', 'ju']	2	5	4	
gu3jie2	gu3jie2	['gu', 'jie']	2	5	5	
gu3sui3	gu3sui3	['gu', 'sui']	2	5	5	
pou1	p#1	['pou']	1	3	2	
chi4lu4	$i4lu4	['chi', 'lu']	2	5	4	
ti3xu4	ti3xu4	['ti', 'xu']	2	4	4	
ti3liang	ti3liaŋ	['ti', 'liang']	2	7	6	
mai4ji1xi3de2	m#4ji1xi3de2	['mai', 'ji', 'xi', 'de']	4	9	8	
deng3ci4	deŋ3ci4	['deng', 'ci']	2	6	5	
gen1yuan2	gen1ɥæn2	['gen', 'yuan']	2	7	6	
kai1duan1	k#1duan1	['kai', 'duan']	2	7	6	
shu2lian4	$u2lian4	['shu', 'lian']	2	7	6	
hao3dai3	h#3d#3	['hao', 'dai']	2	6	4	
zi1wei4	zi1w#4	['zi', 'wei']	2	5	4	
jue2wu4	jue2wu4	['jue', 'wu']	2	5	5	
jin4hu	jin4hu	['jin', 'hu']	2	5	5	
xie4dai4	xie4d#4	['xie', 'dai']	2	6	5	
bi4nan4	bi4nan4	['bi', 'nan']	2	5	5	
xian1feng1	xian1feŋ1	['xian', 'feng']	2	8	7	
chang2yuan3	$aŋ2ɥæn3	['chang', 'yuan']	2	9	6	
shang4deng3	$aŋ4deŋ3	['shang', 'deng']	2	9	6	
zhao4li4	$#4li4	['zhao', 'li']	2	6	4	
zhi1yi1du2	$i1yi1du2	['zhi', 'yi', 'du']	3	7	6	
geng1huan4	geŋ1huan4	['geng', 'huan']	2	8	7	
