char	char_n	com_n	stroke_n	
放	1	2	8	
斗	1	1	4	
底下	2	4	11	
灯	1	2	6	
台上	2	4	8	
照亮	2	8	22	
行为	2	4	10	
荣耀	2	5	29	
归	1	2	5	
父	1	2	4	
莫	1	3	10	
废掉	2	6	19	
法	1	2	8	
成全	2	3	12	
实在	2	5	14	
天地	2	3	10	
废	1	2	8	
一点一	3	5	11	
画	1	3	8	
所以	2	4	12	
无论	2	4	10	
何人	2	4	9	
诫	1	3	9	
命中	2	4	12	
条	1	2	7	
遵行	2	7	21	
命	1	3	8	
胜	1	2	9	
于文士	3	4	10	
断	1	2	11	
古人	2	3	7	
杀人	2	3	8	
难免	2	5	17	
审判	2	4	15	
动怒	2	6	15	
字	1	2	6	
添	1	3	11	
无缘无故	4	7	29	
五	1	1	4	
骂	1	3	9	
拉加	2	4	13	
公会	2	5	10	
审	1	2	8	
魔	1	2	20	
地狱	2	5	15	
祭坛	2	5	18	
献礼	2	7	18	
物	1	2	8	
想起	2	5	23	
怨	1	3	9	
留	1	3	10	
坛	1	3	7	
先	1	2	6	
然后	2	6	18	
献	1	5	13	
告	1	2	7	
对头	2	3	10	
路上	2	5	16	
赶紧	2	5	20	
息	1	2	10	
恐怕	2	5	18	
送给	2	7	18	
审判官	3	6	23	
交付	2	4	11	
衙役	2	7	20	
文	1	2	4	
钱	1	2	10	
清	1	2	11	
奸淫	2	5	17	
妇女	2	3	9	
动	1	3	6	
淫	1	3	11	
念	1	2	8	
犯	1	2	5	
右眼	2	4	16	
跌倒	2	5	22	
剜	1	4	10	
丢掉	2	6	17	
宁可	2	4	10	
失去	2	3	10	
百	1	2	6	
体	1	2	7	
一体	2	3	8	
全身	2	3	13	
右手	2	3	9	
入	1	1	2	
妻	1	3	8	
书	1	1	4	
淫乱	2	5	18	
缘故	2	5	21	
妇	1	2	6	
妇人	2	3	8	
背	1	2	9	
誓	1	3	14	
总	1	3	9	
谨	1	2	13	
守	1	2	6	
可	1	2	5	
起誓	2	5	24	
座位	2	6	17	
凳	1	3	14	
君	1	2	7	
京城	2	5	17	
头	1	1	5	
根	1	2	10	
头发	2	2	10	
变	1	2	8	
黑	1	2	12	
白	1	1	5	
多	1	2	6	
出于	2	3	8	
恶	1	2	10	
眼	1	2	11	
以牙还牙	4	6	19	
恶人	2	3	12	
作对	2	4	12	
打	1	2	5	
右	1	2	5	
脸	1	3	11	
连	1	2	7	
左	1	2	5	
转	1	2	8	
由	1	1	5	
衣	1	2	6	
外衣	2	4	11	
有人	2	2	8	
强逼	2	7	24	
求	1	1	7	
借贷	2	6	19	
推辞	2	4	24	
爱	1	3	10	
邻舍	2	5	15	
恨	1	2	9	
仇敌	2	4	14	
祷告	2	5	18	
日头	2	2	9	
好人	2	3	8	
歹人	2	2	6	
降雨	2	4	16	
税	1	4	12	
吏	1	1	6	
请	1	2	10	
安	1	2	6	
长处	2	3	9	
完全	2	5	13	
象	1	3	11	
小心	2	2	7	
善事	2	6	20	
面前	2	8	18	
故意	2	5	22	
施舍	2	6	17	
前面	2	8	18	
吹号	2	4	13	
像	1	2	13	
假冒	2	6	20	
善	1	3	12	
街道	2	7	26	
要得	2	6	20	
左手	2	3	9	
知道	2	4	22	
暗中	2	3	17	
察看	2	5	23	
必然	2	4	17	
报答	2	6	19	
明处	2	4	13	
十字路口	4	7	24	
内	1	2	4	
屋	1	2	9	
关	1	2	6	
上门	2	3	6	
重复	2	4	18	
垂	1	1	8	
听	1	2	7	
效法	2	5	18	
祈求	2	3	15	
需	1	2	14	
早已	2	3	15	
愿	1	4	14	
尊	1	3	12	
圣	1	2	5	
降临	2	6	17	
旨意	2	4	19	
地上	2	4	9	
如同	2	5	12	
日用	2	3	9	
饮食	2	4	16	
今日	2	2	8	
免	1	3	7	
债	1	3	10	
遇见	2	3	16	
脱离	2	8	21	
凶恶	2	4	14	
国度	2	6	17	
权柄	2	4	15	
全	1	2	6	
永远	2	4	22	
无	1	1	4	
饶恕	2	6	19	
脸上	2	5	14	
愁容	2	5	22	
弄	1	2	7	
难看	2	4	19	
梳头	2	3	16	
积攒	2	9	29	
财宝	2	4	15	
虫子	2	2	9	
咬	1	3	9	
锈	1	3	12	
坏	1	2	7	
贼	1	3	10	
挖	1	3	9	
窟窿	2	9	29	
偷	1	4	11	
只要	2	4	14	
眼睛	2	4	24	
亮	1	4	9	
光明	2	4	14	
昏花	2	5	15	
里头	2	2	12	
何等	2	6	19	
这个	2	3	10	
那个	2	3	9	
重	1	1	9	
轻	1	3	9	
玛门	2	3	10	
财	1	2	7	
生命	2	4	13	
忧虑	2	4	17	
喝	1	3	12	
身体	2	3	14	
穿	1	2	9	
于	1	1	3	
衣裳	2	5	20	
飞鸟	2	3	8	
种	1	2	9	
积蓄	2	6	23	
尚且	2	4	13	
养活	2	4	18	
它	1	2	5	
贵重	2	3	18	
哪	1	3	9	
思虑	2	4	19	
寿数	2	5	20	
一刻	2	3	9	
身量	2	4	19	
肘	1	2	9	
何必	2	4	12	
野地	2	4	17	
百合花	3	8	19	
怎么	2	3	12	
长	1	1	4	
劳苦	2	5	15	
纺线	2	4	15	
然而	2	4	18	
极	1	2	7	
穿戴	2	6	26	
花	1	3	7	
朵	1	2	6	
信	1	2	9	
草	1	3	19	
今天	2	2	8	
明天	2	3	12	
炉	1	2	8	
妆饰	2	5	14	
何况	2	6	14	
东西	2	2	11	
自有	2	3	12	
难处	2	4	15	
够	1	4	11	
论断	2	5	17	
怎样	2	4	19	
量器	2	8	28	
量	1	3	12	
为什么	3	4	11	
眼中	2	3	15	
刺	1	2	8	
梁木	2	4	15	
容	1	2	9	
去掉	2	6	16	
才	1	1	3	
清楚	2	5	24	
狗	1	3	8	
珍珠	2	5	19	
猪	1	3	11	
叩门	2	3	8	
开门	2	2	7	
中间	2	3	11	
饼	1	2	9	
反	1	2	4	
蛇	1	3	11	
虽然	2	5	21	
岂	1	2	6	
何事	2	6	15	
待	1	3	9	
待人	2	4	11	
道理	2	4	25	
窄	1	2	10	
灭亡	2	3	8	
宽	1	3	10	
进去	2	4	12	
永生	2	2	20	
找	1	2	7	
少	1	2	4	
防备	2	4	14	
假	1	4	11	
披	1	2	8	
羊皮	2	2	11	
里面	2	6	16	
残暴	2	6	24	
狼	1	2	10	
凭着	2	5	19	
认出	2	4	9	
荆棘	2	5	21	
岂能	2	6	16	
摘	1	4	14	
葡萄	2	6	23	
蒺藜	2	8	31	
无花果	3	6	19	
惟独	2	4	20	
日	1	1	4	
赶	1	2	10	
异能	2	6	26	
从来	2	3	11	
认识	2	5	11	
作恶	2	4	17	
好比	2	3	10	
聪明	2	6	23	
盖	1	2	11	
磐石	2	4	20	
雨	1	1	8	
淋	1	3	11	
冲	1	2	6	
风	1	2	4	
吹	1	2	7	
撞	1	3	15	
倒塌	2	6	23	
根基	2	5	21	
立	1	2	5	
无知	2	3	12	
沙土	2	3	10	
并且	2	2	11	
很	1	2	9	
讲	1	2	6	
完	1	3	7	
众人	2	4	8	
都希奇	3	9	25	
大麻	2	4	14	
疯	1	2	9	
若肯	2	5	16	
洁净	2	5	17	
伸手	2	3	11	
摸	1	4	13	
切	1	2	4	
司	1	3	5	
摩西	2	3	21	
证据	2	6	18	
夫	1	1	4	
长进	2	3	11	
仆人	2	3	6	
病	1	2	10	
躺	1	4	15	
家里	2	3	17	
甚	1	1	9	
疼	1	3	10	
苦	1	3	8	
百夫长	3	4	14	
