char	char_n	com_n	stroke_n	
名叫	2	4	11	
耶稣	2	4	21	
当	1	2	6	
希律王	3	6	20	
的	1	2	8	
时候	2	5	17	
耶稣生	3	5	26	
在	1	2	6	
犹太	2	3	11	
的	1	2	8	
伯利恒	3	8	23	
有	1	1	6	
几	1	1	2	
个	1	1	3	
博士	2	4	15	
从	1	2	4	
东方	2	3	9	
来到	2	3	15	
耶路撒冷	4	11	43	
说	1	4	9	
那	1	2	6	
生	1	1	5	
下来	2	3	10	
作	1	2	7	
犹太人	3	4	13	
之	1	1	3	
王	1	1	4	
的	1	2	8	
在	1	2	6	
哪里	2	4	16	
我们	2	4	12	
在	1	2	6	
东方	2	3	9	
看见	2	3	13	
他	1	2	5	
的	1	2	8	
星	1	2	9	
特	1	3	10	
来	1	1	7	
拜	1	2	9	
他	1	2	5	
希律王	3	6	20	
听见	2	3	11	
了	1	1	2	
就	1	4	12	
心里	2	2	11	
不安	2	3	10	
耶路撒冷	4	11	43	
合	1	3	6	
城	1	2	9	
的	1	2	8	
人	1	1	2	
也	1	1	3	
都	1	3	10	
不安	2	3	10	
他	1	2	5	
就	1	4	12	
召	1	2	5	
齐	1	2	6	
了	1	1	2	
祭	1	2	11	
司长	2	4	9	
和	1	2	8	
民间	2	3	12	
的	1	2	8	
文士	2	3	7	
问	1	2	6	
他们	2	4	10	
说	1	4	9	
基督	2	7	24	
当	1	2	6	
生	1	1	5	
在	1	2	6	
何处	2	5	12	
他们	2	4	10	
回答	2	7	18	
说	1	4	9	
在	1	2	6	
犹太	2	3	11	
的	1	2	8	
伯利恒	3	8	23	
因为	2	3	10	
有	1	1	6	
先知	2	4	14	
记	1	2	5	
着	1	2	11	
说	1	4	9	
犹	1	2	7	
大地	2	3	9	
的	1	2	8	
伯利恒	3	8	23	
阿	1	3	7	
你	1	3	7	
在	1	2	6	
犹大	2	3	10	
诸城	2	5	19	
中	1	1	4	
并	1	1	6	
不	1	1	4	
是	1	2	9	
最	1	3	12	
小	1	1	3	
的	1	2	8	
因为	2	3	10	
将来	2	4	16	
有	1	1	6	
一	1	1	1	
位	1	2	7	
君王	2	3	11	
要	1	2	9	
从	1	2	4	
你	1	3	7	
那里	2	3	13	
出来	2	3	12	
牧	1	2	8	
养	1	2	9	
我	1	2	7	
以色列	3	6	16	
民	1	1	5	
当下	2	4	9	
希律	2	5	16	
暗暗	2	4	26	
地	1	2	6	
召	1	2	5	
了	1	1	2	
博士	2	4	15	
来	1	1	7	
细问	2	4	14	
那	1	2	6	
星	1	2	9	
是	1	2	9	
什么	2	3	7	
时候	2	5	17	
出现	2	4	13	
的	1	2	8	
就	1	4	12	
差	1	2	9	
他们	2	4	10	
往	1	2	8	
伯利恒	3	8	23	
去	1	2	5	
说	1	4	9	
你们	2	5	12	
去	1	2	5	
仔细	2	4	13	
寻访	2	4	12	
那	1	2	6	
小孩子	3	4	15	
寻	1	2	6	
到	1	2	8	
了	1	1	2	
就	1	4	12	
来	1	1	7	
报信	2	4	16	
我	1	2	7	
也	1	1	3	
好	1	2	6	
去	1	2	5	
拜	1	2	9	
他	1	2	5	
他们	2	4	10	
听见	2	3	11	
王	1	1	4	
的	1	2	8	
话	1	2	8	
就	1	4	12	
去	1	2	5	
了	1	1	2	
在	1	2	6	
东方	2	3	9	
所	1	2	8	
看见	2	3	13	
的	1	2	8	
那	1	2	6	
星	1	2	9	
忽然	2	5	20	
在	1	2	6	
他们	2	4	10	
前头	2	4	14	
行	1	3	6	
直	1	2	8	
行	1	3	6	
到	1	2	8	
小	1	1	3	
孩子	2	3	12	
的	1	2	8	
地方	2	4	10	
就	1	4	12	
在	1	2	6	
上头	2	3	8	
停	1	5	11	
住	1	2	7	
了	1	1	2	
他们	2	4	10	
看见	2	3	13	
那	1	2	6	
星	1	2	9	
就	1	4	12	
大大	2	2	6	
地	1	2	6	
欢喜	2	5	18	
进	1	2	7	
了	1	1	2	
房子	2	3	11	
看见	2	3	13	
小孩子	3	4	15	
和	1	2	8	
他	1	2	5	
母亲	2	3	14	
马利亚	3	5	16	
就	1	4	12	
俯	1	4	10	
伏	1	2	6	
拜	1	2	9	
那	1	2	6	
小孩子	3	4	15	
揭开	2	4	16	
宝	1	2	8	
盒	1	4	11	
拿	1	4	10	
黄金	2	5	19	
乳香	2	5	17	
没	1	2	7	
药	1	3	9	
为	1	1	4	
礼物	2	4	13	
献给	2	9	22	
他	1	2	5	
博士	2	4	15	
因为	2	3	10	
在	1	2	6	
梦	1	3	11	
中	1	1	4	
被	1	2	10	
主	1	2	5	
指示	2	6	14	
不要	2	3	13	
回去	2	5	11	
见	1	1	4	
希律	2	5	16	
就	1	4	12	
从	1	2	4	
别的	2	5	15	
路	1	3	13	
回	1	3	6	
本地	2	4	11	
去	1	2	5	
了	1	1	2	
他们	2	4	10	
去	1	2	5	
后	1	3	6	
有	1	1	6	
主	1	2	5	
的	1	2	8	
使者	2	4	16	
向	1	2	6	
约瑟	2	5	19	
梦	1	3	11	
中	1	1	4	
显现	2	4	17	
说	1	4	9	
起来	2	3	17	
带	1	3	9	
着	1	2	11	
小	1	1	3	
孩子	2	3	12	
同	1	3	6	
他	1	2	5	
母亲	2	3	14	
逃往	2	4	17	
埃及	2	4	13	
住	1	2	7	
在	1	2	6	
那里	2	3	13	
等	1	3	12	
我	1	2	7	
吩咐	2	6	15	
你	1	3	7	
因为	2	3	10	
希律	2	5	16	
必	1	1	5	
寻找	2	4	13	
小孩子	3	4	15	
要	1	2	9	
除	1	3	9	
灭	1	2	5	
他	1	2	5	
约瑟	2	5	19	
就	1	4	12	
起来	2	3	17	
夜间	2	5	15	
带	1	3	9	
着	1	2	11	
小	1	1	3	
孩子	2	3	12	
和	1	2	8	
他	1	2	5	
母亲	2	3	14	
往	1	2	8	
埃及	2	4	13	
去	1	2	5	
住	1	2	7	
在	1	2	6	
那里	2	3	13	
直到	2	4	16	
希律	2	5	16	
死	1	3	6	
了	1	1	2	
这	1	2	7	
是	1	2	9	
要	1	2	9	
应验	2	5	17	
主	1	2	5	
借	1	3	10	
先知	2	4	14	
所	1	2	8	
说	1	4	9	
的	1	2	8	
话	1	2	8	
说	1	4	9	
我	1	2	7	
从	1	2	4	
埃及	2	4	13	
召	1	2	5	
出	1	2	5	
我	1	2	7	
的	1	2	8	
儿子	2	2	5	
来	1	1	7	
希律	2	5	16	
见	1	1	4	
自己	2	3	9	
被	1	2	10	
博士	2	4	15	
愚弄	2	4	20	
就	1	4	12	
大大	2	2	6	
发怒	2	4	14	
差	1	2	9	
人	1	1	2	
将	1	3	9	
伯利恒	3	8	23	
城里	2	3	16	
并	1	1	6	
四	1	3	5	
境	1	4	14	
所有	2	3	14	
的	1	2	8	
男孩	2	4	16	
照	1	4	13	
着	1	2	11	
他	1	2	5	
向	1	2	6	
博士	2	4	15	
仔细	2	4	13	
查问	2	5	15	
的	1	2	8	
时候	2	5	17	
凡	1	1	3	
两	1	1	7	
岁	1	2	6	
以	1	2	4	
里	1	1	7	
的	1	2	8	
都	1	3	10	
杀	1	2	6	
尽	1	2	6	
了	1	1	2	
这	1	2	7	
就	1	4	12	
应	1	2	7	
了	1	1	2	
先知	2	4	14	
耶利米	3	5	21	
的	1	2	8	
话	1	2	8	
说	1	4	9	
在	1	2	6	
拉	1	2	8	
玛	1	2	7	
听见	2	3	11	
号啕大哭	4	9	30	
的	1	2	8	
声音	2	4	16	
是	1	2	9	
拉结	2	5	17	
哭	1	3	10	
她	1	2	6	
儿女	2	2	5	
不	1	1	4	
肯	1	2	8	
受	1	3	8	
安慰	2	6	21	
因为	2	3	10	
他们	2	4	10	
都	1	3	10	
不	1	1	4	
在	1	2	6	
了	1	1	2	
希律	2	5	16	
死	1	3	6	
了	1	1	2	
以后	2	5	10	
有	1	1	6	
主	1	2	5	
的	1	2	8	
使者	2	4	16	
在	1	2	6	
埃及	2	4	13	
向	1	2	6	
约瑟	2	5	19	
梦	1	3	11	
中	1	1	4	
显现	2	4	17	
说	1	4	9	
起来	2	3	17	
带	1	3	9	
着	1	2	11	
小	1	1	3	
孩子	2	3	12	
和	1	2	8	
他	1	2	5	
母亲	2	3	14	
往	1	2	8	
以色列	3	6	16	
地	1	2	6	
去	1	2	5	
因为	2	3	10	
要害	2	5	19	
小孩子	3	4	15	
性命	2	5	16	
的	1	2	8	
人	1	1	2	
已经	2	4	11	
死	1	3	6	
了	1	1	2	
约瑟	2	5	19	
就	1	4	12	
起来	2	3	17	
把	1	2	7	
小	1	1	3	
孩子	2	3	12	
和	1	2	8	
他	1	2	5	
母亲	2	3	14	
带	1	3	9	
到	1	2	8	
以色列	3	6	16	
地	1	2	6	
去	1	2	5	
只	1	2	5	
因	1	2	6	
听见	2	3	11	
亚基老	3	7	23	
接着	2	5	22	
他	1	2	5	
父亲	2	4	13	
希律	2	5	16	
作	1	2	7	
了	1	1	2	
犹太	2	3	11	
王	1	1	4	
就	1	4	12	
怕	1	2	8	
往	1	2	8	
那里	2	3	13	
去	1	2	5	
又	1	1	2	
在	1	2	6	
梦	1	3	11	
中	1	1	4	
被	1	2	10	
主	1	2	5	
指示	2	6	14	
便	1	2	9	
往	1	2	8	
加	1	2	5	
利利	2	4	14	
境内	2	6	18	
去	1	2	5	
了	1	1	2	
到	1	2	8	
了	1	1	2	
一	1	1	1	
座	1	4	10	
城	1	2	9	
名叫	2	4	11	
拿撒勒	3	10	36	
就	1	4	12	
住	1	2	7	
在	1	2	6	
那里	2	3	13	
这	1	2	7	
是	1	2	9	
要	1	2	9	
应验	2	5	17	
先知	2	4	14	
所	1	2	8	
说	1	4	9	
他	1	2	5	
将	1	3	9	
称为	2	4	14	
拿撒勒	3	10	36	
人	1	1	2	
的	1	2	8	
话	1	2	8	
了	1	1	2	
那时	2	4	13	
有	1	1	6	
施洗	2	6	18	
的	1	2	8	
约翰	2	5	22	
出来	2	3	12	
在	1	2	6	
犹太	2	3	11	
的	1	2	8	
旷野	2	4	18	
传道	2	4	20	
说	1	4	9	
天	1	1	4	
国	1	3	8	
近	1	2	7	
了	1	1	2	
你们	2	5	12	
应当	2	4	13	
悔改	2	5	17	
这	1	2	7	
人	1	1	2	
就	1	4	12	
是	1	2	9	
先知	2	4	14	
以	1	2	4	
赛亚	2	6	20	
所	1	2	8	
说	1	4	9	
的	1	2	8	
他	1	2	5	
说	1	4	9	
在	1	2	6	
旷野	2	4	18	
有	1	1	6	
人声	2	3	9	
喊	1	4	12	
着	1	2	11	
说	1	4	9	
预备	2	4	18	
主	1	2	5	
的	1	2	8	
道	1	2	14	
修	1	3	9	
直	1	2	8	
他	1	2	5	
的	1	2	8	
路	1	3	13	
这	1	2	7	
约翰	2	5	22	
身穿	2	3	16	
骆驼	2	6	17	
毛	1	1	4	
的	1	2	8	
衣服	2	4	14	
腰	1	3	13	
束	1	1	7	
皮带	2	4	14	
吃	1	3	6	
的	1	2	8	
是	1	2	9	
蝗虫	2	4	21	
野	1	2	11	
蜜	1	3	14	
那时	2	4	13	
耶路撒冷	4	11	43	
和	1	2	8	
犹太	2	3	11	
全地	2	4	12	
并	1	1	6	
约	1	2	6	
但	1	3	7	
河	1	3	8	
一带	2	4	10	
地方	2	4	10	
的	1	2	8	
人	1	1	2	
都	1	3	10	
出去	2	4	10	
到	1	2	8	
约翰	2	5	22	
那里	2	3	13	
承认	2	3	12	
他们	2	4	10	
的	1	2	8	
罪	1	2	13	
在	1	2	6	
约	1	2	6	
但	1	3	7	
河里	2	4	15	
受	1	3	8	
他	1	2	5	
的	1	2	8	
洗	1	3	9	
约翰	2	5	22	
看见	2	3	13	
许多	2	5	12	
法利	2	4	15	
赛	1	4	14	
人	1	1	2	
和	1	2	8	
撒	1	4	15	
都	1	3	10	
该	1	2	8	
人	1	1	2	
也	1	1	3	
来	1	1	7	
受洗	2	6	17	
就	1	4	12	
对	1	2	5	
他们	2	4	10	
说	1	4	9	
毒蛇	2	5	20	
的	1	2	8	
种类	2	4	18	
谁	1	2	10	
指示	2	6	14	
你们	2	5	12	
逃避	2	6	25	
将来	2	4	16	
的	1	2	8	
忿怒	2	6	17	
呢	1	3	8	
你们	2	5	12	
要	1	2	9	
结出	2	5	14	
果子	2	3	11	
来	1	1	7	
与	1	2	3	
悔改	2	5	17	
的	1	2	8	
心	1	1	4	
相称	2	5	19	
不	1	1	4	
要	1	2	9	
自己	2	3	9	
心里	2	2	11	
说	1	4	9	
有	1	1	6	
亚伯拉罕	4	9	28	
为	1	1	4	
我们	2	4	12	
